SampleID	Outcome
Subject1TP0	18.37
Subject1TP1	55.71
Subject1TP2	95.38
Subject1TP3	53.76
Subject2TP0	8.96
Subject2TP1	50.55
Subject2TP2	93.26
Subject2TP3	58.6
Subject3TP0	20.45
Subject3TP1	64.05
Subject3TP2	112.44
Subject3TP3	75.98
Subject4TP0	20.8
Subject4TP1	66.18
Subject4TP2	120.63
Subject4TP3	58.87
Subject5TP0	25.44
Subject5TP1	74.85
Subject5TP2	140.72
Subject5TP3	57.54
Subject6TP0	19.15
Subject6TP1	56.77
Subject6TP2	117.62
Subject6TP3	67.64
Subject7TP0	26.91
Subject7TP1	51.11
Subject7TP2	133.25
Subject7TP3	62.64
Subject8TP0	18.67
Subject8TP1	58.18
Subject8TP2	123.05
Subject8TP3	73.01
Subject9TP0	29.11
Subject9TP1	62.57
Subject9TP2	130.37
Subject9TP3	79.61
Subject10TP0	49.01
Subject10TP1	71.19
Subject10TP2	75.51
Subject10TP3	68.91
Subject11TP0	34.54
Subject11TP1	63.54
Subject11TP2	57.82
Subject11TP3	75
Subject12TP0	31.48
Subject12TP1	70.56
Subject12TP2	68.07
Subject12TP3	68.97
Subject13TP0	32.72
Subject13TP1	69.71
Subject13TP2	64.31
Subject13TP3	68.62
Subject14TP0	50.28
Subject14TP1	52.56
Subject14TP2	66.74
Subject14TP3	77.39
Subject15TP0	30.38
Subject15TP1	60.12
Subject15TP2	70.71
Subject15TP3	93.15
Subject16TP0	30.12
Subject16TP1	72.04
Subject16TP2	46.58
Subject16TP3	74.31
Subject17TP0	23.42
Subject17TP1	58.62
Subject17TP2	82.79
Subject17TP3	98.37
Subject18TP0	36.83
Subject18TP1	63.25
Subject18TP2	86.92
Subject18TP3	80.32
